kanji,radicals
誕,丿:廴:止:言
暖,丿:又:日:爪
秩,丿:人:土:大:禾
着,丿:玉:目:羊:丷
鋳,丿:亠:土:寸:金
捗,丿:小:止:扌
椿,丿:二:日:木
鉄,丿:二:大:矢:金
添,丿:大:心:氵
梼,丿:亠:土:寸:木
涛,丿:亠:土:寸:氵
祷,丿:亠:土:寸:礻
透,丿:禾:乃:辶
匿,丿:匚:口:艹
屯,丿:乙:凵
呑,丿:口:大
迩,丿:小:辶
任,丿:士:玉:亻
妊,丿:士:女:玉
祢,丿:小:礻
年,丿:干
盃,丿:皿
否,丿:口
弼,丿:弓:白
必,丿:心
媛,丿:又:女:爪
秒,丿:小:禾
瀕,丿:小:止:貝:頁:氵
賓,丿:宀:小:貝
頻,丿:小:止:貝:頁
布,丿:巾
怖,丿:巾:忄
楓,丿:冂:木:虫:風
風,丿:冂:虫
閉,丿:亅:門
蔑,丿:戈:网:艹
鞭,丿:日:田:革:亻
歩,丿:小:止
戊,丿:戈
邦,丿:二:.阝
奔,丿:十:大:廾
枕,丿:乙:冖:尢:木
鮪,丿:月:田:魚:灬
亦,丿:亅:亠:八
湊,丿:二:大:氵
妙,丿:女:小
滅,丿:戈:火:氵
茂,丿:戈:艹
勿,丿:勹
弥,丿:亅:小:弓
矢,丿:大
佑,丿:口:亻
友,丿:又
宥,丿:宀:月
有,丿:月
祐,丿:口:礻
雄,丿:厶:隹
妖,丿:大:女
沃,丿:大:氵
濫,丿:二:皿:臣:氵
藍,丿:二:皿:臣:艹
覧,丿:二:臣:見
旅,丿:方
臨,丿:口:臣:品
劣,丿:力:小
賄,丿:月:貝
詫,丿:乙:宀:言
乂,丿
乖,丿:匕:十:爿
乘,丿:八:匕:十:爿
亳,丿:乙:亠:冖:口
仍,丿:亻:乃
仗,丿:亻
仟,丿:十:亻
佚,丿:二:人:大:亻
侏,丿:八:木:牛:亻
侘,丿:乙:宀:亻
侑,丿:月:亻
决,丿:人:冫:大:ユ
凭,丿:几:士:亻
刋,丿:十:刂
辨,丿:十:立:辛
咸,丿:口:戈
咤,丿:乙:口:宀
唏,丿:口:巾
哽,丿:口:田
喊,丿:口:戈
嗟,丿:口:工:玉:羊:丷
囿,丿:囗:月
埀,丿:匕:土:爿
埓,丿:土:寸
夭,丿:大
奧,丿:冂:大:米
姙,丿:士:女:亻
娑,丿:女:小:氵
婬,丿:士:女:爪
嬌,丿:冂:口:大:女
嬪,丿:女:宀:小:貝
尓,丿:小
尠,丿:儿:匚:小:甘
尹,丿:彐
屹,丿:乙:山
峺,丿:山:田
帙,丿:二:人:大:巾
并,丿:二:干:丷
忤,丿:十:干:忄
忝,丿:大:心
恠,丿:土:忄
恁,丿:士:心:亻
慯,丿:勹:日:忄
慝,丿:匚:厂:口:心:艹
戌,丿:戈
拜,丿:干:扌
抛,丿:力:九:扌
拵,丿:子:扌
插,丿:十:臼:扌
撼,丿:口:心:戈:扌
擯,丿:宀:小:貝:扌
斫,丿:口:斤:石
昜,丿:日:勿
晞,丿:巾:日
晧,丿:口:土:日
晟,丿:戈:日
暘,丿:勹:日:勿
朶,丿:木:乃
杤,丿:木
杪,丿:小:木
枡,丿:十:廾:木
栫,丿:子:木
梏,丿:口:土:木
楹,丿:又:木:皿:乃
槎,丿:工:木:玉:羊:丷
橢,丿:工:月:木:阝.
檳,丿:宀:小:木:貝
欷,丿:巾:欠
歃,丿:十:欠:臼
殀,丿:大:歹
殤,丿:日:歹:勿
殯,丿:宀:小:歹:貝
毟,丿:小:毛
泛,丿:乙:亠:氵
浤,丿:厶:宀:氵
涎,丿:廴:止:氵
淆,丿:月:氵
湲,丿:二:又:爪:氵
渺,丿:小:目:氵
濱,丿:宀:小:貝:氵
炒,丿:小:火
熈,丿:卩:己:臣:灬
煖,丿:又:火:爪
煬,丿:日:火:勿
爰,丿:又:爪
犂,丿:牛:禾:勿
犲,丿:亅:犭
瓩,丿:十:瓦
畴,丿:二:寸:田
疚,丿:入:疒:久
瘍,丿:勹:日:疒
皓,丿:口:土:白
盪,丿:勹:日:皿:氵
蘯,丿:勹:日:皿:氵:艹
眇,丿:小:目
禹,丿:冂:禸:虫
穢,丿:小:戈:止:禾
窘,丿:儿:口:宀:彐:穴
窖,丿:儿:口:土:宀:穴
竏,丿:十:立
笏,丿:勹:竹:勿
笋,丿:彐:竹
筵,丿:廴:止:竹
筬,丿:戈:竹
箴,丿:口:戈:竹
粳,丿:日:米
絨,丿:戈:糸
絏,丿:日:糸
緜,丿:巾:白:糸
緘,丿:口:戈:糸
緲,丿:小:目:糸
縅,丿:女:戈:糸
繽,丿:宀:小:糸:貝
缺,丿:二:人:凵:大:缶
羞,丿:彐:玉:羊:丷
羣,丿:口:彐:玉:羊:丷
隋,丿:工:月:阝.
膓,丿:日:月:勿
膸,丿:工:月:辶
臟,丿:戈:月:臣:艹
臧,丿:冫:戈:疒:臣
臻,丿:二:厶:土:大:禾:至
舂,丿:二:大:臼
艾,丿:艹
茆,丿:卩:艹
荐,丿:子:艹
莚,丿:廴:止:艹
莎,丿:小:氵:艹
莠,丿:禾:艹
藏,丿:戈:爿:臣:艹
蘋,丿:小:止:貝:頁:艹
虱,丿:乙:虫
蜒,丿:廴:止:虫
蜑,丿:廴:止:虫
蜴,丿:日:虫:勿
蝨,丿:乙:虫
蝪,丿:日:虫:勿
袮,丿:小:衤
裙,丿:口:尸:彐:衤
裼,丿:日:勿:衤
襪,丿:戈:网:艹:衤
觴,丿:日:角:勿
誥,丿:口:土:言
譌,丿:爪:言:灬
讚,丿:儿:土:言:貝
豺,丿:亅:豸
貶,丿:乙:亠:貝
贊,丿:儿:土:貝
贓,丿:冫:戈:疒:臣:貝
跌,丿:二:人:口:土:大:足
跣,丿:儿:口:土:足
蹙,丿:卜:口:小:戈:足
躱,丿:木:身:乃
軼,丿:二:人:土:大:車
輳,丿:二:人:大:車
轎,丿:冂:口:大:車
轗,丿:口:心:戈:車
隨,丿:工:月:阝.
醢,丿:口:皿:酉
鈔,丿:小:金
鉚,丿:卩:金
銹,丿:禾:金:乃
鍼,丿:口:戈:金
鑽,丿:儿:土:貝:金
阡,丿:十:阝.
陏,丿:月:阝.
陞,丿:土:廾:阝.
陟,丿:小:止:阝.
陦,丿:二:土:寸:阝.
隲,丿:小:馬:阝.
靜,丿:亅:二:亠:土:彐:月:爪:青:尚
靠,丿:口:土:非
韈,丿:戈:网:革:艹
顰,丿:十:小:止:田:貝:頁
飫,丿:大:食
駛,丿:口:馬
驕,丿:冂:口:大:馬
髓,丿:冂:冖:工:月:骨:辶
鬢,丿:宀:小:彡:貝:長:髟
鯀,丿:田:糸:魚:灬
鯊,丿:小:田:魚:氵:灬
鯑,丿:巾:田:魚:灬
鯣,丿:勹:日:田:魚:灬
鰔,丿:口:戈:田:魚:灬
鰄,丿:女:戈:田:魚:灬
鹹,丿:卜:口:囗:戈:鹵
齲,丿:冂:凵:止:禸:米:虫:齒
曳,乙:日
奄,乙:大:日
掩,乙:大:日:扌:奄
俺,乙:大:亻:奄
乾,乙:十:日
亀,乙:勹:田:龜
吃,乙:口
孔,乙:子
札,乙:木
電,乙:田:雨
縄,乙:田:糸:龜
乳,乙:子:爪
巴,乙:己
蝿,乙:田:虫:龜
氾,乙:卩:氵
犯,乙:卩:犭
範,乙:卩:竹:車
迄,乙:辶
乱,乙:口:舌
竜,乙:田:立
礼,乙:礻
亂,乙:冂:厶:爪
吼,乙:口:子
乢,乙:山
扎,乙:扌
梍,乙:匕:木:白
淹,乙:大:日:氵:奄
煢,乙:冖:十:火
獵,乙:口:巛:臼:鼠:犭
糺,乙:糸
紮,乙:木:糸
罨,乙:大:日:网:奄
菴,乙:大:日:艹:奄
訖,乙:言
軋,乙:車
輒,乙:耳:車
閹,乙:大:日:門:奄
阿,亅:口:阝.
椅,亅:口:大:木
宇,亅:宀:干
迂,亅:二:干:辶
何,亅:口:亻
可,亅:口
歌,亅:口:欠
河,亅:口:氵
珂,亅:口:玉
苛,亅:口:艹
荷,亅:口:亻:艹
俄,亅:戈:手:亻
峨,亅:山:戈:手
我,亅:戈:手
蛾,亅:戈:手:虫
餓,亅:戈:手:食
廓,亅:亠:口:子:广:.阝
郭,亅:亠:口:子:.阝
奇,亅:口:大
寄,亅:口:大:宀
騎,亅:口:大:馬
儀,亅:戈:手:玉:羊:亻:丷
犠,亅:戈:手:牛:玉:羊:丷
義,亅:戈:手:玉:羊:丷
蟻,亅:戈:手:玉:羊:虫:丷
議,亅:戈:手:玉:羊:言:丷
減,亅:口:戈:氵
諺,亅:亠:彡:立:言:丷
伺,亅:口:亻
司,亅:口
詞,亅:口:言
飼,亅:口:艮:食:个
事,亅:口:彐
序,亅:子:广
浄,亅:勹:彐:氵
笥,亅:口:竹
静,亅:亠:勹:土:彐:月:青
争,亅:勹:彐
打,亅:扌
苧,亅:宀:艹
貯,亅:宀:貝
丁,亅
庁,亅:广
町,亅:田
頂,亅:貝:頁
亭,亅:亠:冖:口
停,亅:亠:冖:口:亻
汀,亅:氵
訂,亅:言
釘,亅:金
塗,亅:八:土:木:个:氵
途,亅:八:木:个:辶
灯,亅:火
瀞,亅:亠:土:彐:月:青:氵
寧,亅:宀:心:网
覗,亅:口:見
烹,亅:亠:口:灬
野,亅:矛:里
予,亅:マ
余,亅:二:八:示:个
預,亅:欠:貝:頁:マ
了,亅
亊,亅:彐:丷
舒,亅:口:干:矛:舌:个:マ
于,亅:二
佇,亅:宀:亻
倚,亅:口:大:亻
剞,亅:口:大:刂
叮,亅:口
吁,亅:二:口
呵,亅:口
哥,亅:口
哦,亅:口:戈
竒,亅:亠:口:立:丷
娥,亅:女:戈
婀,亅:口:女:阝.
寐,亅:二:八:宀:爿
峩,亅:山:戈
嵜,亅:亠:口:大:山:立:丷
崢,亅:尸:山:彐:爪
嶬,亅:山:戈:玉:羊:丷
彁,亅:口:弓
抒,亅:矛:マ:扌
掎,亅:口:大:扌
曦,亅:戈:日:玉:羊:丷
杼,亅:木:矛
柯,亅:口:木
檸,亅:宀:心:木:网
欹,亅:口:大:欠
淨,亅:彐:爪:氵
渮,亅:口:氵:艹
渟,亅:亠:冖:口:氵
濘,亅:宀:心:网:氵
烝,亅:水:灬
爭,亅:彐:爪
猗,亅:口:大:犭
獰,亅:宀:心:网:犭
甼,亅:田
畸,亅:口:大:田
疔,亅:疒
痾,亅:口:疒:阝.
盂,亅:二:皿
眄,亅:山:目
礒,亅:口:戈:玉:石:羊:丷
祠,亅:口:礻
竚,亅:宀:立
箏,亅:彐:爪:竹
筝,亅:勹:彐:竹
紆,亅:二:糸
紵,亅:宀:糸
綺,亅:口:大:糸
罅,亅:二:凵:匕:卜:厂:缶:虍:丷
羇,亅:凵:口:大:网:革
聹,亅:宀:心:网:耳
舸,亅:口:舟
艤,亅:戈:玉:羊:舟:丷
莪,亅:戈:艹
荼,亅:二:八:小:个:艹
蕷,亅:矛:貝:頁:艹
蜍,亅:二:小:虫:个
訶,亅:口:言
諍,亅:彐:爪:言
謌,亅:口:言
軻,亅:口:車
迹,亅:亠:八:赤:辶
酊,亅:酉
錚,亅:彐:爪:金
隸,亅:彐:木:水:示:隶
雋,亅:冂:凵:隹
餘,亅:二:八:干:食:个
鵝,亅:戈:鳥:灬
鵞,亅:戈:鳥:灬
蔭,二:厶:个:艹:阝.
院,二:儿:宀:阝.:元
陰,二:厶:个:阝.
云,二:厶
雲,二:厶:雨
会,二:厶:个
快,二:人:大:忄
絵,二:厶:糸:个
顎,二:勹:口:貝:頁
巻,二:大:己:丷
完,二:儿:宀:元
監,二:皿:臣
艦,二:皿:臣:舟
莞,二:儿:宀:艹:元
鑑,二:皿:臣:金
関,二:人:八:大:門:丷
玩,二:儿:玉:元
頑,二:儿:貝:頁:元
侠,二:亠:人:大:亻:丷
峡,二:亠:人:大:山:丷
均,二:冫:勹:土
芸,二:厶:艹
決,二:人:大:氵
訣,二:人:大:言
券,二:人:刀:大:大:丷
圏,二:人:囗:大:大:己:丷
元,二:儿
袴,二:勹:大:衤
誇,二:勹:大:言
跨,二:勹:口:大:足
五,二
魂,二:儿:匕:厶:田:鬼
些,二:匕:止
咲,二:人:口:大:丷
皐,二:十:白
鯖,二:亠:土:月:田:青:魚:灬
錆,二:亠:土:月:金:青
三,二
讃,二:亠:人:大:言:貝
賛,二:亠:人:大:貝
竺,二:竹
勝,二:人:力:大:月:丷
情,二:亠:土:月:青:忄
仁,二:亻
晴,二:亠:土:日:月:青
清,二:亠:土:月:青:氵
精,二:亠:土:月:米:青
請,二:亠:土:月:言:青
青,二:亠:土:月
脊,二:月:癶:个
替,二:亠:人:大:日
樗,二:勹:木:雨
鍔,二:勹:口:金
転,二:厶:車
伝,二:厶:亻
曇,二:厶:日:雨
那,二:刀:.阝
弐,二:弋
溌,二:儿:癶:氵
発,二:儿:癶
醗,二:儿:癶:酉
桧,二:厶:木:个
夫,二:人:大
扶,二:人:大:扌
芙,二:人:大:艹
頬,二:人:貝:頁:丷
俣,二:口:大:亻
靖,二:亠:土:月:立:青
伶,二:士:小:彐:水
隷,二:士:小:彐:水:隶
亘,二:日
鰐,二:勹:口:田:魚:灬
弍,二:弋
亞,二
亟,二:又:口
倩,二:亠:土:月:青:亻
僵,二:田:亻
儖,二:皿:臣:亻
冀,二:八:匕:爿:田
冑,二:冂:月:田
冕,二:儿:冂:月:免
冦,二:儿:冖:卜:又
冱,二:冫
刳,二:勹:大:刂
劵,二:人:八:力:大
匏,二:勹:大:己
卷,二:人:八:卩:大
咢,二:勹:口
圈,二:人:卩:囗:大:丷
堊,二:土
壜,二:厶:土:日:雨
壼,二:冖:士
夬,二:人:大:ユ
夸,二:勹:大
佞,二:女:亻
娜,二:刀:女:.阝
寇,二:儿:卜:又:宀:元
彗,二:亠:土:彐
惡,二:心
惓,二:大:己:丷:忄
愕,二:勹:口:忄
惷,二:大:心:日
愃,二:宀:日:忄
抉,二:人:大:ユ:扌
揆,二:人:大:癶:扌
撥,二:儿:癶:扌
攘,二:亠:八:衣:扌
攤,二:隹:扌:艹
晉,二:厶:日
暄,二:宀:日
桍,二:勹:大:木
梛,二:刀:木:.阝
椏,二:木
椦,二:力:大:木:丷
槿,二:土:木:艹
樸,二:木:羊:丷
檻,二:木:皿:臣
欖,二:木:臣:見
浣,二:儿:宀:氵
渕,二:人:大:丷:刂:氵
滕,二:人:大:月:水:丷
猜,二:亠:土:月:青:犭
畉,二:人:大:田
癈,二:儿:疒:癶
癪,二:亠:土:疒:禾:貝
癸,二:大:癶
皖,二:儿:宀:白:元
眷,二:人:大:目:丷
睛,二:亠:土:月:目:青
瞎,二:亠:口:土:宀:目
碾,二:口:尸:石:衣
磧,二:亠:口:土:石:貝
簀,二:亠:土:竹:貝
籃,二:皿:竹:臣
籐,二:人:大:月:水:竹:丷
籘,二:人:大:月:竹:糸:丷
紜,二:厶:糸
絳,二:夂:糸
綣,二:人:大:己:糸:丷
縉,二:厶:日:糸
縢,二:人:大:月:糸:丷
繧,二:厶:糸:雨
繿,二:皿:糸:臣
纉,二:亠:人:大:糸:貝
纛,二:亠:土:小:毋:目:糸
纜,二:糸:臣:見
罎,二:凵:厶:日:缶:雨
冐,二:冂:月
胯,二:勹:大:月
膩,二:弋:月:貝
艱,二:人:大:艮:艹
芫,二:儿:艹:元
菁,二:亠:土:月:青:艹
萼,二:勹:口:艹
蕚,二:勹:口:艹:品
蒄,二:儿:冖:寸:艹:元
蓁,二:大:禾:艹
薑,二:田:艹
虧,二:勹:匕:卜:厂:虍:隹
蜷,二:人:大:己:虫:丷
蜻,二:亠:土:月:虫:青
蠢,二:大:日:虫
袂,二:人:大:衤
襤,二:皿:臣:衤
諤,二:勹:口:言
諠,二:宀:日:言
譛,二:人:大:日:言
豢,二:人:大:豕:丷
貳,二:弋:貝
趺,二:人:口:大:足
輦,二:人:大:車:亻
鄂,二:口:.阝
鎹,二:人:八:大:金:辶
鐚,二:心:金
鑒,二:网:臣:金
鑚,二:人:儿:大:貝:金
阮,二:儿:阝.:元
靆,二:厶:彐:水:隶:雨:辶
靉,二:冖:厶:夂:心:爪:雨
鰆,二:人:大:日:田:魚:灬
鴃,二:人:大:鳥:灬
鶚,二:勹:口:鳥:灬
麩,二:人:夂:麥
麸,二:亠:人:土:夂:大:麥
齶,二:凵:勹:口:止:米:齒
哀,亠:口:衣
虻,亠:虫:亡
依,亠:衣:亻
衣,亠
亥,亠:人
育,亠:厶:月
影,亠:口:小:彡:日
液,亠:夕:攴:亻:氵
円,亠:冂
劾,亠:人:力
咳,亠:人:口
害,亠:口:土:宀
該,亠:人:言
骸,亠:人:冂:冖:月:骨
核,亠:人:木
較,亠:父:車
割,亠:口:土:宀:刂
轄,亠:口:土:宀:車
顔,亠:八:厂:彡:立:貝:頁
棄,亠:凵:厶:木
毅,亠:几:殳:立:豕
喫,亠:刀:口:土:大
亨,亠:口
享,亠:口:子
京,亠:口:小
契,亠:刀:土:大
景,亠:口:小:日
鯨,亠:口:小:田:魚:灬
潔,亠:刀:土:糸:氵
憲,亠:土:宀:心:网
牽,亠:冖:厶:牛
弦,亠:幺:弓:玄
玄,亠:幺
絃,亠:幺:玄:糸
舷,亠:幺:玄:舟
檎,亠:冂:厶:木:禸:个
交,亠:父
佼,亠:父:亻
倖,亠:十:立:辛:亻
効,亠:力:父
坑,亠:几:土
幸,亠:十:立:辛
慌,亠:巛:忄:艹
抗,亠:几:扌
杭,亠:几:木
校,亠:木:父
稿,亠:冂:口:禾:高
絞,亠:父:糸
膏,亠:冖:口:月:高
航,亠:几:舟
郊,亠:父:.阝
高,亠:冂:口
壕,亠:冖:口:土:豕
濠,亠:冖:口:豕:氵
豪,亠:冖:口:豕
麹,亠:勹:土:夂:米:麥
刻,亠:刂
債,亠:土:貝:亻
裁,亠:厶:土:戈:衣
鮫,亠:父:田:魚:灬
姉,亠:女:巾
市,亠:巾
宍,亠:八:宀
芝,亠:艹
縞,亠:冂:口:糸:高
充,亠:儿:厶
銃,亠:儿:厶:金
淳,亠:口:子:氵
醇,亠:口:子:酉
商,亠:儿:冂:口:立:丷
壌,亠:八:土:衣
嬢,亠:八:女:衣
穣,亠:八:禾:衣
譲,亠:八:衣:言
醸,亠:八:衣:酉
新,亠:十:斤:木:立:辛:丷
薪,亠:十:斤:木:立:辛:丷:艹
親,亠:十:木:立:見:辛:丷
翠,亠:人:冫:十:羽
衰,亠:衣
嵩,亠:冂:口:山:高
畝,亠:田:久
積,亠:土:禾:貝
績,亠:土:糸:貝
責,亠:土:貝
跡,亠:口:止:赤:足
蹟,亠:口:土:貝:足
疏,亠:厶:巛:止:疋:マ
素,亠:土:糸
爽,亠:人
卒,亠:人:十
鐸,亠:十:立:网:辛:金
壇,亠:口:囗:土:日
檀,亠:口:日:木
畜,亠:幺:玄:田
蓄,亠:幺:玄:田:艹
嫡,亠:冂:十:口:女:立:丷:啇
漬,亠:土:貝:氵
帝,亠:冖:巾:立:丷
締,亠:冖:巾:立:糸:丷
諦,亠:冖:巾:立:言:丷
蹄,亠:冖:口:巾:立:足:丷
摘,亠:冂:十:口:立:丷:扌:啇
敵,亠:冂:十:口:攴:立:丷:啇
滴,亠:冂:十:口:立:丷:氵:啇
適,亠:冂:十:口:立:丷:辶:啇
鏑,亠:冂:十:口:立:金:丷:啇
徹,亠:厶:彳:攴:月
撤,亠:厶:攴:月:扌
轍,亠:厶:攴:月:車
統,亠:儿:厶:糸
毒,亠:土:毋
惇,亠:口:子:忄
敦,亠:口:子:攴
灘,亠:口:大:隹:氵:艹
難,亠:口:大:隹:艹
肺,亠:巾:月
抜,亠:又:夂:扌
噺,亠:十:口:斤:木:立:辛:丷
塙,亠:冂:口:土:高
蛮,亠:虫
彦,亠:厂:彡:立:丷
変,亠:夂
報,亠:十:卩:又:土:立:辛
褒,亠:口:小:衣:亻
亡,亠
傍,亠:冖:方:立:亻:丷
忘,亠:心:亡
忙,亠:忄:亡
蓑,亠:衣:艹
椋,亠:口:小:木
冥,亠:八:冖:日
妄,亠:女:亡
盲,亠:目:亡
夜,亠:夕:亻
擁,亠:隹:扌
璃,亠:凵:玉:禸
裏,亠:衣:里
離,亠:凵:禸:隹
率,亠:冫:十:幺:玄
掠,亠:口:小:扌
流,亠:厶:巛:氵
琉,亠:厶:巛:玉
硫,亠:厶:口:巛:石
亮,亠:儿:冖:口
涼,亠:口:小:氵
諒,亠:口:小:言
恋,亠:八:心
六,亠:八
藁,亠:冂:口:木:高:艹
湾,亠:弓:氵
亢,亠:几
亰,亠:小:日
亶,亠:口:囗:日
伉,亠:几:亻
倅,亠:人:十:亻
偐,亠:厂:彡:立:亻:丷
傚,亠:攴:父:亻
僭,亠:无:日:亻
儕,亠:刀:齊:亻
凉,亠:冫:口:小
凛,亠:冫:口:囗:示
劑,亠:齊:刂
勍,亠:力:口:小
勣,亠:力:土:貝
卞,亠:卜
吭,亠:几:口
呟,亠:口:幺:玄
咬,亠:口:父
啻,亠:冖:口:巾:立:丷
啼,亠:冖:口:巾:立:丷
喨,亠:儿:冖:口
嘖,亠:口:土:貝
嚆,亠:冂:口:高:艹
囃,亠:人:口:木:隹
囓,亠:凵:刀:口:土:止:米:齒
圉,亠:十:囗:土:干:立:辛
垓,亠:人:土
埣,亠:人:十:土
壞,亠:土:网:衣
壅,亠:土:隹
奕,亠:八:大:赤
孩,亠:子
幎,亠:八:冖:巾:日
廩,亠:口:囗:广:禾
弃,亠:厶:廾
弯,亠:八:弓:赤
悴,亠:人:十:忄
慱,亠:十:厶:寸:日:虫:忄
憬,亠:口:小:日:忄
懌,亠:十:土:立:网:辛:忄
懷,亠:网:衣:忄
懍,亠:口:囗:禾:忄
抃,亠:卜:扌
撩,亠:人:大:小:日:丷:扌
擒,亠:凵:禸:个:扌
擅,亠:口:囗:日:扌
擇,亠:十:土:立:网:辛:扌
撻,亠:十:土:玉:立:羊:辛:扌:辶
擠,亠:齊:扌
攅,亠:人:土:大:貝:扌
效,亠:攴:父
敲,亠:冂:口:攴:高
旁,亠:冖:方:立:丷
旒,亠:厶:巛:方
暝,亠:八:冖:日
暾,亠:口:子:攴:日
暸,亠:大:小:日:丷
柬,亠:巾:木:丷
梳,亠:厶:巛:木
椁,亠:口:子:木
楔,亠:刀:土:大:木
楴,亠:冖:巾:木:立:丷
楝,亠:八:巾:木
槁,亠:冂:口:木:高
榠,亠:八:冖:日:木
榜,亠:冖:方:木:立:丷
槨,亠:口:子:木:.阝
榱,亠:木:衣
毓,亠:厶:巛:毋
毫,亠:冖:口:毛
氈,亠:口:囗:毛:目
沛,亠:巾:氵
淬,亠:人:十:氵
滂,亠:冖:方:立:丷:氵
溟,亠:八:冖:日:氵
滾,亠:八:口:衣:氵
漓,亠:凵:禸:氵
潦,亠:大:小:日:丷:氵
澤,亠:十:土:立:网:辛:氵
濟,亠:齊:氵
燉,亠:口:子:攴:火
燎,亠:大:小:日:火:丷
燵,亠:土:火:立:丷:辶
犒,亠:冂:口:牛:高
狡,亠:父:犭
猝,亠:人:十:犭
甎,亠:十:寸:日:瓦:虫
甕,亠:幺:瓦:隹
畆,亠:厶:田
痃,亠:幺:玄:疒
瘁,亠:人:十:疒
皎,亠:父:白
眩,亠:幺:玄:目
睾,亠:十:土:目:立:网:辛
瞑,亠:八:冖:日:目
碎,亠:人:十:口:石
磅,亠:冖:口:方:石:立:丷
磚,亠:十:厶:口:寸:日:石:虫
禊,亠:刀:土:大:礻
稟,亠:口:囗:禾
禀,亠:口:囗:示
稾,亠:冂:口:禾:高
簑,亠:口:竹:衣
簔,亠:口:竹:衣
籬,亠:凵:禸:竹:隹
粹,亠:人:十:米
繚,亠:大:小:日:糸:丷
繹,亠:十:土:立:糸:网:辛
纐,亠:父:糸:貝:頁
罔,亠:冂:丷:亡
羶,亠:口:囗:日:玉:羊:丷
肓,亠:月:亡
腋,亠:夕:月:亻
膀,亠:冖:方:月:立:丷
膵,亠:人:十:月:艹
芒,亠:艹:亡
萃,亠:人:十:齊:艹
蒂,亠:冖:巾:立:丷:艹
蒿,亠:冂:口:高:艹
蒡,亠:冖:方:立:丷:艹
蔬,亠:厶:巛:止:疋:艹
薺,亠:刀:齊:艹
蛟,亠:父:虫
螟,亠:八:冖:日:虫
蟀,亠:冫:十:幺:玄:虫
衒,亠:幺:彳:玄:行
袞,亠:八:口:衣
袤,亠:矛:衣
裹,亠:八:木:田:衣
襃,亠:口:木:衣
諄,亠:囗:子:言
謗,亠:冖:方:立:言:丷
謫,亠:冂:十:口:立:言:丷:啇
譯,亠:十:土:立:网:言:辛
豁,亠:八:口:土:宀:谷:个
齎,亠:貝:齊
躋,亠:口:足:齊
逹,亠:十:立:辛:辶
醉,亠:人:十:酉
醯,亠:厶:巛:皿:酉
釋,亠:十:立:米:网:辛:釆
鉉,亠:幺:玄:金
鍄,亠:口:小:金
鎬,亠:冂:口:金:高
鐓,亠:囗:子:攴:金
鐐,亠:八:大:小:日:金:丷
閙,亠:巾:門
闥,亠:十:土:玉:立:羊:辛:門:辶
雍,亠:幺:隹
雜,亠:人:木:隹
霈,亠:巾:雨:氵
霽,亠:雨:齊
齏,亠:韭:齊
韲,亠:韭:齊
頏,亠:儿:貝:頁
顫,亠:口:囗:日:貝:頁
餃,亠:父:食
駭,亠:人:馬
駮,亠:父:馬
驛,亠:十:立:网:辛:馬
驪,亠:冂:广:比:馬:鹿
髞,亠:冂:口:木:高:品
鬧,亠:巾:鬥
魑,亠:儿:凵:匕:田:禸:鬼
鵁,亠:父:鳥:灬
鶉,亠:口:子:鳥:灬
鵺,亠:夕:衣:鳥:灬
鷯,亠:小:日:鳥:个:丷:灬
黐,亠:凵:禸:黍
黥,亠:口:小:里:黒:灬
齧,亠:凵:刀:土:止:米:齒
凜,亠:冫:口:禾
臥,人:臣
渓,人:土:爪:氵
鶏,人:土:大:爪:鳥
欠,人:勹
倹,人:口:个:亻
剣,人:口:个:刂
検,人:口:木:个
険,人:口:个:阝.
験,人:口:馬:个
鹸,人:十:口:囗:鹵:个
庚,人:广:彐
傘,人:十:个
囚,人:囗
潜,人:土:日:氵
閃,人:門
朕,人:大:月:丷
槻,人:大:木:見
内,人:冂
肉,人:冂
納,人:冂:糸
病,人:冂:疒
丙,人:冂
柄,人:冂:木
撲,人:玉:羊:丷:扌
从,人
仄,人:厂
俎,人:目
僉,人:口:个
僣,人:土:日:亻
儉,人:口:个:亻
刔,人:大:刂:ユ
劍,人:口:个:刂
匳,人:匚:口:个
吶,人:冂:口
咎,人:口:夂
噬,人:口:工:竹
嗇,人:口:囗:土
墻,人:口:囗:土
夐,人:冂:勹:夂:目
夾,人:大
姨,人:大:女:弓
孅,人:女:戈:韭
峽,人:大:山
嶮,人:口:山:个
巫,人:工
從,人:彳:疋
怏,人:冂:大:忄
愴,人:口:戸:忄
懺,人:戈:韭:忄
挾,人:大:扌
斂,人:口:攴:个
昃,人:厂:日
暎,人:冂:大:日:艹
檢,人:口:木:个
檣,人:口:囗:土:木
歛,人:口:欠:个
殃,人:冂:大:歹
殲,人:戈:歹:韭
泱,人:冂:大:氵
泅,人:囗:氵
洟,人:大:弓:氵
浹,人:大:氵
滿,人:入:冂:凵:氵
瀲,人:口:攴:个:氵
炳,人:冂:火
牆,人:口:囗:土:爿
狹,人:大:犭
璞,人:玉:羊:丷
痍,人:大:弓:疒
瞼,人:口:目:个
秧,人:冂:大:禾
穡,人:口:囗:土:禾
筴,人:大:竹
筮,人:工:竹
篋,人:匚:大:竹
簽,人:口:竹:个
籤,人:戈:竹:韭
縱,人:土:彳:糸:走:亻
纖,人:戈:糸:韭
羮,人:大:玉:羊:丷:灬
肭,人:冂:月
腴,人:日:月:臼
臉,人:口:月:个
臾,人:臼
艢,人:口:囗:土:舟
莢,人:大:艹
萸,人:日:臼:艹
