kanji,radicals
蕪,｜:丿:艹:灬:無
淵,｜:氵
弗,｜:丿:弓
沸,｜:丿:弓:氵
糞,｜:二:田:米:丷:井
併,｜:丿:二:廾:亻:丷
塀,｜:丿:二:八:土:尸:廾
弊,｜:冂:巾:廾:攴:丷:尚
並,｜:二:丷
蔽,｜:冂:巾:攴:丷:尚:艹
瞥,｜:冂:巾:攴:目:丷:尚
偏,｜:冂:戸:亻:冊
篇,｜:冂:戸:竹:冊
編,｜:冂:戸:糸:冊
遍,｜:冂:戸:辶:冊
便,｜:丿:日:田:亻
俸,｜:丿:二:人:大:亻
奉,｜:丿:二:人:大
峰,｜:夂:山
峯,｜:夂:山
捧,｜:丿:二:人:大:扌
縫,｜:夂:糸:辶
蓬,｜:夂:艹:辶
蜂,｜:夂:虫
豊,｜:口:日:豆:丷
鋒,｜:夂:金
暴,｜:二:八:日:水:井
棒,｜:丿:二:人:大:木
堀,｜:土:尸:山
妹,｜:二:亠:八:女:木
昧,｜:二:亠:八:日:木
抹,｜:亠:八:木:扌
末,｜:亠:八:木
沫,｜:二:亠:八:木:氵
万,｜:丿
満,｜:二:冂:山:氵
味,｜:二:亠:八:口:木
未,｜:二:亠:八:木
魅,｜:二:亠:儿:八:匕:木:田:鬼
岬,｜:山:日:田
無,｜:丿:灬
免,｜:儿:勹:口
耗,｜:八:士:木:毛:耒
餅,｜:丿:二:廾:食:丷
也,｜:乙:匕
鑓,｜:口:金:辶
油,｜:日:田:氵
幽,｜:凵:幺
悠,｜:夂:心:攴:亻
柚,｜:日:木:田
由,｜:日:田
郵,｜:丿:.阝
翼,｜:二:八:冫:田:羽:井
来,｜:二:亠:木:米
莱,｜:二:亠:木:米:艹
頼,｜:八:口:木:貝:頁
欄,｜:日:木:田:門
蘭,｜:日:木:門:艹
侶,｜:口:亻
両,｜:冂:山
倫,｜:亅:个:亻:冊
輪,｜:車:个:冊
霊,｜:二:雨
廉,｜:八:广:彐:丷
煉,｜:八:日:木:火:田
簾,｜:八:广:彐:竹
練,｜:八:日:木:田:糸
錬,｜:八:日:木:田:金:丷
婁,｜:口:女
蝋,｜:几:用:虫:尚
論,｜:言:个:冊
歪,｜:丶:丿:止
丕,｜:丶:丿
个,｜
丱,｜:丿
