num,kanji,radicals,meaning,concept,subconcept
1894,魔,儿匕广木田鬼麻,demon,Human_activities,Religion_(宗)_and_the_Supernatural_World
1895,毎,毋,every,Numbers_(数),Counting_(計)_&_Sequence_(序)
1896,妹,｜二亠八女木,younger sister,People_(人),Family_(家_/_族)
1897,枚,攴木,counter for flat things,Numbers_(数),Counters_(個)
1898,昧,｜二亠八日木,foolish,,
1899,埋,土里,bury,,
1900,幕,大巾日艹,curtain,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
1901,膜,大日月艹,membrane,,
1902,枕,丿乙冖尢木,pillow,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
1903,又,又,or again,,
1904,末,｜亠八木,end,,
1905,抹,｜亠八木扌,rub,,
1906,万,｜丿,"10,000",Numbers_(数),
1907,満,｜二冂山氵,full,,
1908,慢,又日网忄,ridicule,,
1909,漫,又日网氵,cartoon,,
1910,未,｜二亠八木,not yet,,
1911,味,｜二亠八口木,flavor,,
1912,魅,｜二亠儿八匕木田鬼,fascination,,
1913,岬,｜山日田,headland,Nature,Land_(陸)_and_Topography
1914,密,丶丿宀山心,secrecy,,
1915,蜜,丶丿宀心虫,honey,Food_(食)_and_Drink_(飲),
1916,脈,厂斤月,vein,Body_(身),General_2
1917,妙,丿女小,exquisite,,
1918,民,口氏,people,People_(人),General
1919,眠,口氏目,sleep,Body_(身),Bodily_Functions
1920,矛,マ,halberd,,
1921,務,力夂矛,duty,,
1922,無,｜丿灬,nothing,,
1923,夢,冖夕网艹,dream,Body_(身),Bodily_Functions
1924,霧,力夂矛雨,fog,Nature,Weather
1925,娘,女艮,daughter,People_(人),Family_(家_/_族)
1926,名,口夕,name,People_(人),Family_(家_/_族)
1927,命,卩口个,fate,,
1928,明,日月,light,Nature,Weather
1929,迷,米辶,confusion,Emotions_and_Senses_(感),Emotions_(情)
1930,冥,亠八冖日,dark,Nature,Weather
1931,盟,日月皿,alliance,,
1932,銘,口夕金,inscription,,
1933,鳴,口鳥灬,chirp,,
1934,滅,丿戈火氵,destroy,,
1935,免,｜儿勹口,excuse,,
1936,面,面,face,,
1937,綿,巾白糸,cotton,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
1938,麺,夂面麥,noodles,Food_(食)_and_Drink_(飲),
1939,茂,丿戈艹,overgrown,,
1940,模,大日木艹,pattern,Physical_Attributes_and_Properties,Form_and_Shape_(形)
1941,毛,毛,fur,Nature,Animals_(獣)
1942,妄,亠女亡,delusion,,
1943,盲,亠目亡,blind,Emotions_and_Senses_(感),Senses
1944,耗,｜八士木毛耒,to consume,Numbers_(数),Calculations_(算)
1945,猛,子皿犭,fierce,,
1946,網,冂糸丷亡,net,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
1947,目,目,eye,Body_(身),Head_(頭)_and_Neck_(首)
1948,黙,犬里黒灬,silence,,
1949,門,門,gates,,
1950,紋,文糸,family crest,,
1951,問,口門,question,Human_activities,Language_(語)_and_Communication
1952,冶,冫厶口,melting,,
1953,夜,亠夕亻,night,Time_(時),Divisions_of_the_Day
1954,野,亅矛里,field,Nature,Land_(陸)_and_Topography
1955,弥,丿亅小弓,all the more,,
1956,厄,卩厂,unlucky,,
1957,役,彳殳,service,,
1958,約,丶勹糸,promise,,
1959,訳,丶尸言,translate,,
1960,薬,冫日木艹,drug,Body_(身),Health_(体)
1961,躍,口彐足隹,leap,,
1962,闇,日立門音,dark,Nature,Weather
1963,由,｜日田,reason,,
1964,油,｜日田氵,oil,Nature,Natural_Substances
1965,喩,口月个刂,metaphor,,
1966,愉,月个刂忄,pleasure,,
1967,諭,月言个刂,rebuke,,
1968,輸,月車个刂,transport,,
1969,癒,心月疒个刂,heal,Body_(身),Health_(体)
1970,唯,口隹,solely,,
1971,友,丿又,friend,People_(人),Roles_and_status
1972,有,丿月,have,,
1973,勇,力田マ,courage,,
1974,幽,｜凵幺,dark or hidden,Human_activities,Religion_(宗)_and_the_Supernatural_World
1975,悠,｜夂心攴亻,permanence,,
1976,郵,｜丿阝,mail,,
1977,湧,力田マ氵,boil,,
1978,猶,酉丷犭,furthermore,,
1979,裕,八口谷个衤,abundant,,
1980,遊,子方辶,play,,
1981,雄,丿厶隹,male,,
1982,誘,禾言乃,entice,,
1983,憂,冖夂心自,worry,Emotions_and_Senses_(感),Emotions_(情)
1984,融,儿冂口虫鬲,dissolve,,
1985,優,冖夂心白亻,superior,,
1986,与,勹卜,give,,
1987,予,亅マ,in advance,,
1988,余,亅二八示个,leave over,,
1989,誉,言丷尚,reputation,,
1990,預,亅欠貝頁マ,deposit,,
1991,幼,力幺,infancy,,
1992,用,用,use,,
1993,羊,玉丷,sheep,Nature,Animals_(獣)
1994,妖,丿大女,goblin or yōkai,Human_activities,Religion_(宗)_and_the_Supernatural_World
1995,洋,玉羊丷氵,ocean,Nature,Land_(陸)_and_Topography
1996,要,女襾,need,,
1997,容,八口宀穴谷个,contain,,
1998,庸,广彐用聿,commonplace,,
1999,揚,日扌勿,to fry,Food_(食)_and_Drink_(飲),Cooking_(炊)
2000,揺,凵干爪缶扌,swing,,
2001,葉,木艹世,leaf,Nature,Plants_(植)_and_Trees_(樹)
2002,陽,日阝勿,Yang principle,Human_activities,Religion_(宗)_and_the_Supernatural_World
2003,溶,八口宀穴谷个氵,melt,,
2004,腰,女月襾,waist,Body_(身),Torso_and_organs
2005,様,木水玉羊丷,formal title,,
2006,瘍,丿勹日疒,ulcer,Body_(身),Health_(体)
2007,踊,口用足マ,jump,Body_(身),Actions
2008,窯,儿宀玉穴羊丷灬,kiln or stove,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
2009,養,玉羊食丷,foster,,
2010,擁,亠隹扌,embrace,,
2011,謡,凵干爪缶言,"song, noh chant",Human_activities,Culture
2012,曜,彐日隹,day of week,Time_(時),Divisions_of_the_Year
2013,抑,卩扌,repress,,
2014,沃,丿大氵,fertility,,
2015,浴,八口谷个氵,bathe,,
2016,欲,八口欠谷个,desire,Emotions_and_Senses_(感),Emotions_(情)
2017,翌,冫立羽,the following,Numbers_(数),Counting_(計)_&_Sequence_(序)
2018,翼,｜二八冫田羽井,wing,Nature,Animals_(獣)
2019,拉,立扌,crush,,
2020,裸,木田衤,naked,,
2021,羅,糸网隹,gauze,,
2022,来,｜二亠木米,to come,Directions_(方)_and_Spatial_Relationships,Movement
2023,雷,田雨,thunder,Nature,Weather
2024,頼,｜八口木貝頁,trust,,
2025,絡,口夂糸,entwine,,
2026,落,口夂氵艹,to fall,Directions_(方)_and_Spatial_Relationships,Movement
2027,酪,口夂酉,dairy products,Food_(食)_and_Drink_(飲),
2028,辣,｜十口木立辛,spicy,Emotions_and_Senses_(感),Senses
2029,乱,乙口舌,riot,,
2030,卵,丶丿卜,egg,Food_(食)_and_Drink_(飲),
2031,覧,丿二臣見,perusal,,
2032,濫,丿二皿臣氵,excessive,,
2033,藍,丿二皿臣艹,indigo,Physical_Attributes_and_Properties,Colours_(色)
2034,欄,｜日木田門,column,,
2035,吏,丶丿口,officer,,
2036,利,禾刂,profit,,
2037,里,里,countryside,Nature,Land_(陸)_and_Topography
2038,理,玉里,reason,Emotions_and_Senses_(感),Judgment_(評)
2039,痢,疒禾刂,diarrhea,Body_(身),Health_(体)
2040,裏,亠衣里,rear,Directions_(方)_and_Spatial_Relationships,
2041,履,夂尸彳日,footwear,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
2042,璃,亠凵玉禸,glassy,,
2043,離,亠凵禸隹,detach,,
2044,陸,儿土阝,land,,
2045,立,立,stand up,Body_(身),Actions
2046,律,彳聿,law,,
2047,慄,木襾忄,fear,Emotions_and_Senses_(感),Emotions_(情)
2048,略,口夂田,abbreviation,,
2049,柳,卩木,willow,Nature,Plants_(植)_and_Trees_(樹)
2050,流,亠厶巛氵,stream,,
2051,留,刀厶田,detain,,
2052,竜,乙田立,dragon,Human_activities,Religion_(宗)_and_the_Supernatural_World
2053,粒,立米,grain,Food_(食)_and_Drink_(飲),
2054,隆,夂生阝,hump,,
2055,硫,亠厶口巛石,sulphur,Nature,Natural_Substances
2056,侶,｜口亻,companion,,
2057,旅,丿方,to travel,Directions_(方)_and_Spatial_Relationships,Movement
2058,虜,力匕卜厂田虍,captive,,
2059,慮,匕卜厂心田虍,prudence,,
2060,了,亅,finish,,
2061,両,｜冂山,both,Numbers_(数),Counting_(計)_&_Sequence_(序)
2062,良,艮,good,Emotions_and_Senses_(感),Judgment_(評)
2063,料,斗米,fee,Human_activities,Money_(銭)_and_Commerce_(商)
2064,涼,亠口小氵,refreshing,,
2065,猟,几用尚犭,game-hunting,,
2066,陵,儿土夂阝,mausoleum,,
2067,量,日里,quantity,,
2068,僚,小日亻,colleague,People_(人),Roles_and_status
2069,領,卩貝頁个,territory,,
2070,寮,宀小日个丷,dormitory,,
2071,療,小日疒个丷,heal,Body_(身),Health_(体)
2072,瞭,小日目个丷,clear,,
2073,糧,日米里,provisions,,
2074,力,力,power,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機)
2075,緑,彐水糸隶,green,Physical_Attributes_and_Properties,Colours_(色)
2076,林,木,grove,Nature,Plants_(植)_and_Trees_(樹)
2077,厘,厂里,(around 0.3 mm),Numbers_(数),Units_of_Measurement_(測)
2078,倫,｜亅个亻冊,ethics,,
2079,輪,｜車个冊,counter for flowers or wheels,Numbers_(数),Counters_(個)
2080,隣,夕米舛阝,neighbour,People_(人),Roles_and_status
2081,臨,丿口臣品,look to,,
2082,瑠,刀厶玉田,lapis lazuli,,
2083,涙,大戸氵,tear,Body_(身),Bodily_Functions
2084,累,田糸,accumulate,,
2085,塁,冫土田,bases,,
2086,類,大米貝頁,sort,,
2087,令,卩个,orders,,
2088,礼,乙礻,thanks,,
2089,冷,冫卩个,cold,Nature,Weather
2090,励,力厂斤,encourage,,
2091,戻,大戸,re-,,
2092,例,歹亻刂,example,,
2093,鈴,卩金个,bell,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
2094,零,卩雨个,0,Numbers_(数),
2095,霊,｜二雨,spirit,Human_activities,Religion_(宗)_and_the_Supernatural_World
2096,隷,二士小彐水隶,underling,People_(人),Roles_and_status
2097,齢,凵卩止米齒个,age,,
2098,麗,冂广比鹿,lovely,,
2099,暦,厂广日木麻,calendar,Time_(時),Divisions_of_the_Year
2100,歴,厂广木止麻,curriculum,,
2101,列,歹刂,"line, row",Physical_Attributes_and_Properties,Form_and_Shape_(形)
2102,劣,丿力小,inferiority,,
2103,烈,歹刂灬,ardent,,
2104,裂,歹衣刂,split,,
2105,恋,亠八心,love,Emotions_and_Senses_(感),Emotions_(情)
2106,連,車辶,take along,,
2107,廉,｜八广彐丷,cheap,Human_activities,Money_(銭)_and_Commerce_(商)
2108,練,｜八日木田糸,practice,,
2109,錬,｜八日木田金丷,tempering,,
2110,呂,口,backbone,Body_(身),Torso_and_organs
2111,炉,戸火,hearth,,
2112,賂,口夂貝,bribe,Human_activities,Money_(銭)_and_Commerce_(商)
2113,路,口夂足,road,,
2114,露,口夂足雨,dew,Nature,Weather
2115,老,老,old,Time_(時),
2116,労,冖力尚,labour,,
2117,弄,廾玉,tamper with,,
2118,郎,艮阝,"son, boy",People_(人),General
2119,朗,月艮,melodious,,
2120,浪,艮氵,wandering,,
2121,廊,广艮阝,corridor,,
2122,楼,女木米,watchtower,,
2123,漏,尸雨氵,leak,,
2124,籠,月立竹,basket,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
2125,六,亠八,6,Numbers_(数),
2126,録,彐水金隶,record,,
2127,麓,广木比鹿,foot of mountain,Nature,Land_(陸)_and_Topography
2128,論,｜言个冊,discourse,Human_activities,Language_(語)_and_Communication
2129,和,口禾,peace,,
2130,話,口舌言,speak,Human_activities,Language_(語)_and_Communication
2131,賄,丿月貝,bribe,Human_activities,Money_(銭)_and_Commerce_(商)
2132,脇,力月,armpit,Body_(身),Limbs_(肢)
2133,惑,口心戈,bewilderment,Emotions_and_Senses_(感),Emotions_(情)
2134,枠,十木九,"border, frame",Physical_Attributes_and_Properties,Form_and_Shape_(形)
2135,湾,亠弓氵,bay or gulf,Nature,Land_(陸)_and_Topography
2136,腕,卩夕宀月,arm,Body_(身),Limbs_(肢)
