kanji,meaning,theme,subtheme
拍,clapbeat(music),Human_activities,Culture
節,tunemelody,Human_activities,Culture
詩,poetry,Human_activities,Culture
詠,recite poetry,Human_activities,Culture
俳,haiku,Human_activities,Culture
劇,dramaplay,Human_activities,Culture
祭,festival,Human_activities,Culture
校,school,Human_activities,Culture
学,studyschool,Human_activities,Culture
生,student,Human_activities,Culture
塾,private school,Human_activities,Culture
科,faculty,Human_activities,Culture
教,teach,Human_activities,Culture
究,studyresearch,Human_activities,Culture
研,studyresearch,Human_activities,Culture
知,know,Human_activities,Culture
卒,graduate,Human_activities,Culture
儒,Confucianism,Human_activities,Culture
言,say,Human_activities,Language_and_Communication
話,speak,Human_activities,Language_and_Communication
声,voice,Human_activities,Language_and_Communication
告,tell,Human_activities,Language_and_Communication
談,discuss,Human_activities,Language_and_Communication
聞,ask,Human_activities,Language_and_Communication
問,question,Human_activities,Language_and_Communication
答,answer,Human_activities,Language_and_Communication
吟,recite,Human_activities,Language_and_Communication
読,read,Human_activities,Language_and_Communication
書,write,Human_activities,Language_and_Communication
本,book,Human_activities,Language_and_Communication
文,text,Human_activities,Language_and_Communication
図,mapdiagram,Human_activities,Language_and_Communication
筆,writingbrush,Human_activities,Language_and_Communication
字,character,Human_activities,Language_and_Communication
辞,word,Human_activities,Language_and_Communication
詞,words,Human_activities,Language_and_Communication
句,phrase,Human_activities,Language_and_Communication
記,written record,Human_activities,Language_and_Communication
刊,publish,Human_activities,Language_and_Communication
誌,documentjournal,Human_activities,Language_and_Communication
訃,obituary,Human_activities,Language_and_Communication
信,message,Human_activities,Language_and_Communication
報,inform,Human_activities,Language_and_Communication
説,explain,Human_activities,Language_and_Communication
題,topic,Human_activities,Language_and_Communication
表,express,Human_activities,Language_and_Communication
伝,transmit,Human_activities,Language_and_Communication
論,discourse,Human_activities,Language_and_Communication
講,lecture,Human_activities,Language_and_Communication
宣,proclaim,Human_activities,Language_and_Communication
金,gold,Human_activities,Money_and_Commerce
札,banknote,Human_activities,Money_and_Commerce
円,yen,Human_activities,Money_and_Commerce
幣,currency,Human_activities,Money_and_Commerce
財,wealth,Human_activities,Money_and_Commerce
富,rich,Human_activities,Money_and_Commerce
買,buy,Human_activities,Money_and_Commerce
購,purchase,Human_activities,Money_and_Commerce
売,sell,Human_activities,Money_and_Commerce
業,businessindustry,Human_activities,Money_and_Commerce
商,trade,Human_activities,Money_and_Commerce
貿,trade,Human_activities,Money_and_Commerce
販,marketing,Human_activities,Money_and_Commerce
卸,wholesale,Human_activities,Money_and_Commerce
払,pay,Human_activities,Money_and_Commerce
貝,cowry (ancient Chinese currency),Human_activities,Money_and_Commerce
貨,goods or property,Human_activities,Money_and_Commerce
宝,treasure or wealth,Human_activities,Money_and_Commerce
産,product,Human_activities,Money_and_Commerce
工,manufacture,Human_activities,Money_and_Commerce
価,price,Human_activities,Money_and_Commerce
値,price,Human_activities,Money_and_Commerce
高,expensive,Human_activities,Money_and_Commerce
安,cheap,Human_activities,Money_and_Commerce
廉,cheap,Human_activities,Money_and_Commerce
資,capital,Human_activities,Money_and_Commerce
賃,fee or wages,Human_activities,Money_and_Commerce
料,fee,Human_activities,Money_and_Commerce
費,expense,Human_activities,Money_and_Commerce
営,management,Human_activities,Money_and_Commerce
職,employment,Human_activities,Money_and_Commerce
働,work,Human_activities,Money_and_Commerce
稼,workearn,Human_activities,Money_and_Commerce
給,salary,Human_activities,Money_and_Commerce
俸,salary,Human_activities,Money_and_Commerce
償,recompense,Human_activities,Money_and_Commerce
債,bond or debt,Human_activities,Money_and_Commerce
貯,savings,Human_activities,Money_and_Commerce
税,tax,Human_activities,Money_and_Commerce
租,tax,Human_activities,Money_and_Commerce
賦,installment or levy,Human_activities,Money_and_Commerce
賄,bribe,Human_activities,Money_and_Commerce
賂,bribe,Human_activities,Money_and_Commerce
賭,gamble,Human_activities,Money_and_Commerce
俎,altar of sacrifice,Human_activities,Religion_and_the_Supernatural_World
仏,Buddha,Human_activities,Religion_and_the_Supernatural_World
尼,Buddhist nun,Human_activities,Religion_and_the_Supernatural_World
僧,Buddhist monk or priest,Human_activities,Religion_and_the_Supernatural_World
寺,Buddhist temple,Human_activities,Religion_and_the_Supernatural_World
幽,dark or hidden,Human_activities,Religion_and_the_Supernatural_World
魔,demon,Human_activities,Religion_and_the_Supernatural_World
教,doctrine or teaching,Human_activities,Religion_and_the_Supernatural_World
竜,dragon,Human_activities,Religion_and_the_Supernatural_World
鬼,evil spirit or oni,Human_activities,Religion_and_the_Supernatural_World
祓,exorcism or purity,Human_activities,Religion_and_the_Supernatural_World
妖,goblin or yōkai,Human_activities,Religion_and_the_Supernatural_World
神,god or [kami],Human_activities,Religion_and_the_Supernatural_World
仙,immortal or sage,Human_activities,Religion_and_the_Supernatural_World
幻,phantom,Human_activities,Religion_and_the_Supernatural_World
祈,pray,Human_activities,Religion_and_the_Supernatural_World
派,religious sect,Human_activities,Religion_and_the_Supernatural_World
聖,sacred,Human_activities,Religion_and_the_Supernatural_World
犠,sacrifice,Human_activities,Religion_and_the_Supernatural_World
巫,shaman,Human_activities,Religion_and_the_Supernatural_World
社,Shinto shrine,Human_activities,Religion_and_the_Supernatural_World
宮,shrine,Human_activities,Religion_and_the_Supernatural_World
罪,sin or taboo,Human_activities,Religion_and_the_Supernatural_World
魂,soul,Human_activities,Religion_and_the_Supernatural_World
霊,spirit,Human_activities,Religion_and_the_Supernatural_World
刹,temple,Human_activities,Religion_and_the_Supernatural_World
詣,temple visit,Human_activities,Religion_and_the_Supernatural_World
德,virtue,Human_activities,Religion_and_the_Supernatural_World
陽,Yang principle,Human_activities,Religion_and_the_Supernatural_World
陰,Yin principle,Human_activities,Religion_and_the_Supernatural_World
禅,Zen,Human_activities,Religion_and_the_Supernatural_World
武,military,Human_activities,War
戦,battle,Human_activities,War
闘,battle,Human_activities,War
敵,enemy,Human_activities,War
攻,attack,Human_activities,War
斬,slash,Human_activities,War
伐,attack or punish,Human_activities,War
殺,kill,Human_activities,War
撃,attack,Human_activities,War
討,attack,Human_activities,War
殴,beatassault,Human_activities,War
撃,beatattack,Human_activities,War
斬,cut with a sword,Human_activities,War
射,shoot at,Human_activities,War
襲,raid,Human_activities,War
征,conquer,Human_activities,War
陣,battleformationcamp,Human_activities,War
屯,barracks,Human_activities,War
